Disruption ID,Date Issued,Start Date,Finish Date,Status,Closure,On Street,From Street,To Street,Impact,Duration,Details,Description,Activity Type,Traffic District,Infrastructure,point
137,"Feb 21, 2024","Mar 18, 2024","Jun 09, 2024",Current,108 Ave EBD Closed,108 Avenue NW,102 Street NW,103 Street NW,Directional Closure,3 Months,"Starts Mar 18, 108 Ave EBD closed from 102 St - 103 St. South sidewalk closed, pedestrian must detour using the north sidewalk. Full road closure from Mar 23-31. Detour using other route.",Drainage Work,Construction,Central,Road and Sidewalk,POINT (-113.495556275647 53.553019792287)
104,"Jan 31, 2024","Feb 05, 2024","Jul 30, 2024",Current,167 St SW Bridge Maintenance,167 Street SW,73 Avenue SW,105 Avenue SW,Total Closure,6 months,"167 St SW, at Whitemud Creek Bridge will be closed for bridge maintenance. Use 153 St SW, 191 St SW or QE II Highway for detours",Bridge Maintenance,Construction,Southwest,Road,POINT (-113.610516212747 53.366873941676)
159,"Mar 13, 2024","Mar 18, 2024","Mar 28, 2024",Current,Intersection of 80 Ave and 107 St closed,80 Avenue NW,107 Street NW,106 Street NW,Total Closure,11 Days,The intersection of 80 Ave and 107 St will be completely closed for drainage construction. Please use other routes.,Drainage Construction,Construction,Central,Road and Sidewalk,POINT (-113.506316351921 53.516144081169)
209,"Apr 05, 2024","Apr 12, 2024","Jun 30, 2024",Current,156 St Closure,156 Street NW,Meadowlark Rd NW,90 Avenue NW,Total Closure,2.5 Months,Total closure of 156 St at Meadowlark Road for WLRT Construction.For more information please visit https://marigoldinfra.ca/current-construction-notices/,WLRT construction,Construction,Northwest,Road and Sidewalk,POINT (-113.590336201228 53.523075911462)
192,"Mar 28, 2024","Apr 02, 2024","Apr 09, 2024",Current,152 St Closed,152 Street NW,123 Avenue NW,121A Avenue NW,Total Closure,8 Days,152 St will be closed from April 2 to 9 from 123 Av to 121A Av. Use other routes.,Emergency Drainage Repair,Construction,Northwest,Road,POINT (-113.582198711008 53.576766013203)
22,"Sep 07, 2023","Sep 11, 2023","Dec 31, 2025",Revised,YHT/127 St Lane Reductions,Yellowhead Trail NW,127 Street NW,,Increased Travel Time,Long Term Project,"Starts Mon, Sept 11th. Yellowhead Trail and 127 St will be reduced to two lanes in all four directions. Starting Sun, Nov 12th,  EB YHT  to NB 127 St Left turns will be banned.Starting Sat, Nov 25th, SB 127 St to EB YHT Left turns will be banned.",YHT Freeway Conversion,Construction,Northeast,Road,POINT (-113.54123491589 53.580675661185)
21,"Aug 17, 2023","Aug 17, 2023","Apr 30, 2024",Revised,104 Av Lane Reductions,104 Avenue NW,120 Street NW,110 Street NW,Travel Delays,Long Term Project,"104 Av, 120 St - 110 St will be reduced to 2 lanes each way starting on Fri, Aug 18th.",WLRT Constructon,Construction,Central,Road and Sidewalk,POINT (-113.51021860815 53.546228612577)
5,"May 19, 2022","Jun 15, 2022","Jun 15, 2024",Revised,99 Av Closure,99 Avenue NW,150 Street NW,151 Street NW,Total Closure,2 Years,99 Av will be closed from 150 St - 151 St for the construction of a drainage tunnel shaft. Use other routes.*New end date and duration*,Drainage Shaft Construction,Construction,Northeast,Road and Sidewalk,POINT (-113.579777574135 53.537718750011)
132,"Feb 14, 2024","Feb 24, 2024","Feb 24, 2024",Current,Reduced to Single Lane In Each Direction,101 Street NW,104 Avenue NW,105A Avenue NW,Increased Travel Time,7am to 1pm,"Starts Sat at 7am until 1pm. 101 St reduced to single lane in each direction, detour using other route. East sidewalk closed, pedestrians must detour using the other side.",Concrete Pour,Construction,Central,Road and Sidewalk,POINT (-113.493728840248 53.546153456447)
178,"Mar 22, 2024","Apr 02, 2024","Jun 30, 2024",Current,Westbound 57 Ave Closure,57 Avenue NW,Lessard Road,175 Street NW,Directional Closure,Two Months,Westbound 57 Ave closed West of 175 St. Eastbound 57 Ave maintained in a single lane from Lessard Road.,Utility Repair,Construction,Northwest,Road,POINT (-113.629187104364 53.49350760134)
21,"Aug 17, 2023","Aug 17, 2023","Apr 30, 2024",Revised,104 Av Lane Reductions,104 Avenue NW,120 Street NW,110 Street NW,Travel Delays,Long Term Project,"104 Av, 120 St - 110 St will be reduced to 2 lanes each way starting on Fri, Aug 18th.",WLRT Constructon,Construction,Central,Road and Sidewalk,POINT (-113.528666213813 53.54619286978)
192,"Mar 28, 2024","Apr 02, 2024","Apr 09, 2024",Current,152 St Closed,152 Street NW,123 Avenue NW,121A Avenue NW,Total Closure,8 Days,152 St will be closed from April 2 to 9 from 123 Av to 121A Av. Use other routes.,Emergency Drainage Repair,Construction,Northwest,Road,POINT (-113.582903286504 53.573549649197)
204,"Apr 04, 2024","Apr 04, 2024","Apr 19, 2024",Current,98 Av Closure,98 Avenue NW,156 Street NW,157 Street NW,Total Closure,2 Weeks,98 Av Closure from 156 St to the lane west of 156 St. For more info visit https://marigoldinfra.ca/current-construction-notice,WLRT Construction,Construction,Northwest,Road,POINT (-113.590305942229 53.536181594452)
211,"Apr 05, 2024","Apr 03, 2024","Sep 30, 2024",Current,93A Av Total Closure,93A Avenue NW,156 Street NW,155 Street NW,Total Closure,6 Months,Total closure of 93A Av from 156 St to the lane East of 156 St for WLRT Construction.For more information please visit https://marigoldinfra.ca/current-construction-notices/,WLRT Construction,Construction,Northwest,Road and Sidewalk,POINT (-113.590307522175 53.529165442255)
210,"Apr 05, 2024","Apr 03, 2024","Sep 30, 2024",Current,92A Av Total Closure,92A Avenue NW,156 Street NW,155 Street NW,Total Closure,6 Months,Total closure of 92A Av from 156 St to the lane East of 156 St for WLRT Construction.For more information please visit https://marigoldinfra.ca/current-construction-notices/,WLRT Construction,Construction,Northwest,Road,POINT (-113.590342176938 53.52761791262)
208,"Apr 05, 2024","Apr 03, 2024","Sep 30, 2024",Current,91 Av Closure,91 Avenue NW,156 Street NW,155 Street NW,Total Closure,6 Months,Total closure of 91 Av from 156 St to the lane East of 156 St for WLRT Construction.For more information please visit https://marigoldinfra.ca/current-construction-notices/,WLRT construction,Construction,Northwest,Road,POINT (-113.59032259878 53.524921274572)
212,"Apr 05, 2024","Apr 04, 2024","Apr 18, 2024",Current,126 Street Total Closure,126 Street NW,Stony Plain Road NW,105 Avenue NW,Total Closure,2 Weeks,Total Closure of 126 St  from Stony Plain Rd - 105 Av for WLRT Construction.For more information please visit https://marigoldinfra.ca/current-construction-notices/,West LRT Construction,Construction,Central,Road and Sidewalk,POINT (-113.539446731626 53.547339746894)
213,"Apr 05, 2024","Apr 08, 2024","Jul 31, 2024",Current,151 Street Closure,151 Street NW,Stony Plain Road NW,100 Avenue NW,Total Closure,4 Months,Total closure of 151 Street on the South side of Stony Plain Road.For more information please visit https://marigoldinfra.ca/current-construction-notices/,WLRT Construction,Construction,Northwest,Road and Sidewalk,POINT (-113.581499351286 53.541284205618)
23,"Sep 12, 2023","Sep 20, 2023","Aug 23, 2024",Revised,North Sidewalk Closure,103 Avenue NW,101 Street NW,102 Street NW,Total Closure,,"Starts Wednesday Sept 20, 2023. The north sidewalk along 103 Ave, 101 St - 102 St will be closed. Pedestrians must use the south sidewalk.",Building Renovations,Construction,Central,Sidewalk,POINT (-113.493720937399 53.544897059635)
223,"Apr 09, 2024","Apr 15, 2024","Apr 15, 2024",Current,142 St Reduced to 1 Lane SB,142 Street NW,101 Avenue NW,100 Avenue NW,Travel Delays,1 Day (9am to 3pm),142 St will be reduced to 1 lane SB from 101 Av to 100 Av. Use other routes.,Crane Lift,Construction,Northwest,Road and Sidewalk,POINT (-113.565691619318 53.541243311713)
224,"Apr 09, 2024","Jan 15, 2024","May 31, 2024",Current,99 Av Closed from 146 St - 145 St,99 Avenue NW,146 Street NW,145 Street NW,Total Closure,20 Weels,99 Av is closed from 146 St to 145 St. Use other routes.,Drainage Shaft Install,Construction,Northwest,Road,POINT (-113.57277910389 53.53766562809)
214,"Apr 05, 2024","Apr 15, 2024","Jul 31, 2024",Current,153 Street Total Closure,153 Street NW,Stony Plain Road NW,100 Avenue NW,Total Closure,3.5 Months,Total closure of 153 Street on the South side of Stony Plain Road.For more information please visit https://marigoldinfra.ca/current-construction-notices/,WLRT Construction,Construction,Northwest,Road and Sidewalk,POINT (-113.585037196818 53.541287563947)
161,"Mar 14, 2024","Apr 11, 2024","Apr 14, 2024",Current,Power Maintenance,17 Street NE,127 Avenue NE,137 Avenue NE,Major Delays,3 Days,Reduced one lane. Shut Down for max 15 minutes at Aurum Road NE intersection.,Power Maintenance,Construction,Southeast,Road,POINT (-113.319978919318 53.584843153992)
161,"Mar 14, 2024","Apr 11, 2024","Apr 14, 2024",Current,Power Maintenance,17 Street NE,127 Avenue NE,137 Avenue NE,Major Delays,3 Days,Reduced one lane. Shut Down for max 15 minutes at Aurum Road NE intersection.,Power Maintenance,Construction,Southeast,Road,POINT (-113.319980287469 53.599514405884)
117,"Feb 08, 2024","Feb 12, 2024","Nov 02, 2024",Current,Rainbow Valley Bridge Work,Whitemud Drive,53 Avenue,122 Street,Increased Travel Time,265 Days,"Beginning Feb 12 after 9 p.m., traffic will be split over the south bridge deck of Rainbow Valley Bridge.  Two lanes will be maintained through the construction zone.",Terwillegar Dr Proj Stage 2,Construction,Southwest,Road,POINT (-113.572009355306 53.490403326723)
93,"Jan 29, 2024","Feb 07, 2024","Aug 31, 2024",Current,111 St SB reduced to a single lane,111 Street NW,34 Avenue NW,29A Avenue NW,Travel Delays,Long Term Project,"Starts Weds, February 7th @ 9am. 111st SB just north of 29 A Ave will be reduced to a single lane. SB to EB left turn will be banned. Expect travel delays.",Drainage Tunnel Shaft,Construction,Southwest,Road,POINT (-113.516328900539 53.465904582209)
117,"Feb 08, 2024","Feb 12, 2024","Nov 02, 2024",Current,Rainbow Valley Bridge Work,Whitemud Drive,53 Avenue,122 Street,Increased Travel Time,265 Days,"Beginning Feb 12 after 9 p.m., traffic will be split over the south bridge deck of Rainbow Valley Bridge.  Two lanes will be maintained through the construction zone.",Terwillegar Dr Proj Stage 2,Construction,Southwest,Road,POINT (-113.541184079246 53.483069181294)
101,"Jan 31, 2024","Feb 13, 2024","Aug 01, 2025",Revised,107 Street WLRT closure,107 Street NW,102 Avenue NW,104 Avenue NW,Total Closure,Long Term Project,"107 Street, 103 Av - 104 Av SB will be closed permanantly. NB will be reduced to a single lane.107 St, 102 Av - 103 Av will be closed to all traffic except for Fire Hall Access. 103 Av at 107 St will be reduced to a single lane each way.",West LRT Construction,Construction,Central,Road and Sidewalk,POINT (-113.504744057172 53.546229416813)
181,"Mar 25, 2024","Apr 09, 2024","Apr 09, 2024",Current,98 AV Traffic Circle Lane Closure,98 Avenue NW,79 Street NW,91 Street NW,Increased Travel Time,One Day,98 AV & 84 ST traffic circle will be reduced to one lane between 09:00-15:30hrs.,Drainage Construction,Construction,Central,Road,POINT (-113.449273441853 53.537526577904)
85,"Jan 24, 2024","Jan 30, 2024","Apr 29, 2024",Revised,95 Street Lane Reductions,95 Street NW,103A Avenue NW,105 Avenue NW,Travel Delays,3 Months,"Starts Tues, Jan 30th at 9am. 95 Street will be reduced to a single lane NB. Feb 5th - Feb 22nd, 95 St will be reduced to a single lane in each direction.",Drainage Shaft,Construction,Central,Road,POINT (-113.480247194876 53.54787734636)
181,"Mar 25, 2024","Apr 09, 2024","Apr 09, 2024",Current,98 AV Traffic Circle Lane Closure,98 Avenue NW,79 Street NW,91 Street NW,Increased Travel Time,One Day,98 AV & 84 ST traffic circle will be reduced to one lane between 09:00-15:30hrs.,Drainage Construction,Construction,Central,Road,POINT (-113.466949341782 53.538248842096)
184,"Mar 26, 2024","Apr 15, 2024","Jun 12, 2024",Current,Staged Total Closures,116 Avenue NW,85 Street NW,87 Street NW,Total Closure,2 Months,"Staged road & sidewalk closure. 86 St, 116 Ave - 117 Ave (April 15-May 3), 116 Ave, 85 St - 87 St (May 6-June 12). Pedestrian access available on one side of the road at all times. Parkdale Sewer Separation project.",Drainage Work,Construction,Central,Road and Sidewalk,POINT (-113.471802506663 53.567347966777)
187,"Mar 27, 2024","Apr 15, 2024","Apr 15, 2024",Current,98 AV Traffic Split,98 Avenue NW,84 Street NW,91 Street NW,Increased Travel Time,One Day,"98 AV, 84-91 ST will be reduced to a single lane in each direction and split to the north side between 09:00-15:30hrs.",Drainage Inspection,Construction,Central,Road,POINT (-113.466949341782 53.538248842096)
187,"Mar 27, 2024","Apr 15, 2024","Apr 15, 2024",Current,98 AV Traffic Split,98 Avenue NW,84 Street NW,91 Street NW,Increased Travel Time,One Day,"98 AV, 84-91 ST will be reduced to a single lane in each direction and split to the north side between 09:00-15:30hrs.",Drainage Inspection,Construction,Central,Road,POINT (-113.456676897362 53.53776463116)
101,"Jan 31, 2024","Feb 13, 2024","Aug 01, 2025",Revised,107 Street WLRT closure,107 Street NW,102 Avenue NW,104 Avenue NW,Total Closure,Long Term Project,"107 Street, 103 Av - 104 Av SB will be closed permanantly. NB will be reduced to a single lane.107 St, 102 Av - 103 Av will be closed to all traffic except for Fire Hall Access. 103 Av at 107 St will be reduced to a single lane each way.",West LRT Construction,Construction,Central,Road and Sidewalk,POINT (-113.504747802087 53.543014393718)
93,"Jan 29, 2024","Feb 07, 2024","Aug 31, 2024",Current,111 St SB reduced to a single lane,111 Street NW,34 Avenue NW,29A Avenue NW,Travel Delays,Long Term Project,"Starts Weds, February 7th @ 9am. 111st SB just north of 29 A Ave will be reduced to a single lane. SB to EB left turn will be banned. Expect travel delays.",Drainage Tunnel Shaft,Construction,Southwest,Road,POINT (-113.516120783317 53.461179985982)
13,"May 10, 2023","Aug 14, 2023","May 18, 2024",Revised,"104 Av, 110 St - 107 St & 109 St: 2 lanes each way",104 Avenue NW,110 Street NW,107 Street NW,Travel Delays,Long term project,"104 Ave: 2 lanes each way 110 St - 107 St, 109 St: 2 lanes each way north & south of 104 Ave, Alternating closures of sidewalks as work progresses - pedestrian access maintained, Left turns banned SB & WB at 109 St/104 Ave and EB at 107 St/104 Ave.",WLRT Construction,Construction,Central,Road and Sidewalk,POINT (-113.51021860815 53.546228612577)
136,"Feb 16, 2024","Feb 20, 2024","Mar 01, 2024",Current,Total closure of 107 St at 74 Ave,74 Avenue NW,106 Street NW,107 Street NW,Total Closure,11 Days,The intersection of 107 St and 74 Ave will be completely closed to thru traffic for drainage construction.,Drainage Construction,Construction,Southwest,Road and Sidewalk,POINT (-113.504424069645 53.510359990122)
13,"May 10, 2023","Aug 14, 2023","May 18, 2024",Revised,"104 Av, 110 St - 107 St & 109 St: 2 lanes each way",104 Avenue NW,110 Street NW,107 Street NW,Travel Delays,Long term project,"104 Ave: 2 lanes each way 110 St - 107 St, 109 St: 2 lanes each way north & south of 104 Ave, Alternating closures of sidewalks as work progresses - pedestrian access maintained, Left turns banned SB & WB at 109 St/104 Ave and EB at 107 St/104 Ave.",WLRT Construction,Construction,Central,Road and Sidewalk,POINT (-113.504744057172 53.546229416813)
205,"Apr 04, 2024","Apr 06, 2024","Apr 08, 2024",Current,"SB 106 St Closed, 97 Ave - S/O 97 Ave",106 Street NW,97 Avenue NW,96 Avenue NW,Directional Closure,8am April 6 - 3:30pm April 8,"April 6 at 8am - April 8 at 3:30pm: Southbound 106 St closed from 97 Ave to south of 97 Ave, Eastbound right lane of 97 Ave closed from 109 St to 106 St, South crosswalk closed at the 106 St/97 Ave intersection.",Water Valve Repair,Construction,Central,Road,POINT (-113.502917570172 53.534029616963)
206,"Apr 04, 2024","Apr 15, 2024","Apr 19, 2024",Current,Yellowhead Tr Lane Closures,Yellowhead Trail NW,156 Street NW,St Albert Tr NW,Travel Delays,4 Nights,"Starts April 15th, 2024. Yellowhead Tr  will be reduced to a single lane from 9pm - 6am.",Drainage Construction,Construction,Northwest,Road,POINT (-113.590610497653 53.578402392784)
219,"Apr 08, 2024","Apr 05, 2024","Apr 11, 2024",Current,Southbound Single Lane Closure,Mark Messier Trail NW,Mistatim Road NW,137 Avenue NW,Travel Delays,1 Week,Southbound Mark Messier Tr. From Mistatim Road to 137 Ave is reduced to two lanes of travel due to an emergency power repair. The curb lane will be closed for the duration. Use other routes.,Emergency Power Repair,Construction,Northwest,Road,POINT (-113.575101264363 53.59952284341)
207,"Apr 04, 2024","Apr 04, 2024","Apr 08, 2024",Current,99 St Delays,99 Street,51 Avenue NW,56 Avenue NW,Travel Delays,5 Days,99 St will be reduced to a single lane in each direction. Use other routes.,Emergency Subsidence Repair,Construction,Southeast,Road,POINT (-113.486093631221 53.488141796643)
11,"Apr 24, 2023","Apr 24, 2023","Oct 31, 2024",Current,Single Lane Closures,34 Street NW,Whitemud Drive NW,64 Avenue NW,Travel Delays,18 Months,Roper Rd NW Closure btw 36 Street NW and 34 Street NW. Follow detour signs. Occasional two way flagging operations expected during off-peak hours only. All speed reduced accordingly. Expect travel delays. **Extended Oct31**,Road Construction,Construction,Southeast,Road,POINT (-113.393795955643 53.487196374436)
11,"Apr 24, 2023","Apr 24, 2023","Oct 31, 2024",Current,Single Lane Closures,34 Street NW,Whitemud Drive NW,64 Avenue NW,Travel Delays,18 Months,Roper Rd NW Closure btw 36 Street NW and 34 Street NW. Follow detour signs. Occasional two way flagging operations expected during off-peak hours only. All speed reduced accordingly. Expect travel delays. **Extended Oct31**,Road Construction,Construction,Southeast,Road,POINT (-113.393824348466 53.501210358151)
207,"Apr 04, 2024","Apr 04, 2024","Apr 08, 2024",Current,99 St Delays,99 Street,51 Avenue NW,56 Avenue NW,Travel Delays,5 Days,99 St will be reduced to a single lane in each direction. Use other routes.,Emergency Subsidence Repair,Construction,Southeast,Road,POINT (-113.486113558612 53.491730707031)
219,"Apr 08, 2024","Apr 05, 2024","Apr 11, 2024",Current,Southbound Single Lane Closure,Mark Messier Trail NW,Mistatim Road NW,137 Avenue NW,Travel Delays,1 Week,Southbound Mark Messier Tr. From Mistatim Road to 137 Ave is reduced to two lanes of travel due to an emergency power repair. The curb lane will be closed for the duration. Use other routes.,Emergency Power Repair,Construction,Northwest,Road,POINT (-113.577437478418 53.602177188066)
17,"May 26, 2023","Jul 04, 2023","Jul 04, 2024",Current,100A Av Closed West of 156 St,100A Avenue NW,156 Street NW,158 Street NW,Permanent Closure,Permanent Closure,100A Av is permanently closed from 156 St to approximately 50m West of 156 St. Https://marigoldinfra.ca/,LRT Construction,Construction,Northwest,Road,POINT (-113.590335209152 53.540257114656)
109,"Feb 02, 2024","Feb 05, 2024","Apr 21, 2024",Revised,Southbound 97 St Curb Lane Closure,97 Street NW,128 Avenue NW,127 Avenue NW,Travel Delays,2 Months,Southbound 97 St curb lane closure. West sidewalk closed. Pedestrians detour at 128 Ave and 127 Ave.,Utility Repair,Construction,Northeast,Road,POINT (-113.492007187325 53.585955014134)
102,"Jan 31, 2024","Feb 13, 2024","May 31, 2024",Revised,102 Av EB closure,102 Avenue NW,108 Street NW,106 Street NW,Directional Closure,3.5 Months,"Starts Thurs, Feb 15th. 102 Av EB will be closed from 108 St to the lane East of 107 St.",West LRT Construction,Construction,Central,Sidewalk,POINT (-113.506585643464 53.543015699919)
190,"Mar 27, 2024","Apr 15, 2024","Apr 19, 2024",Current,Northwest Corner Turnbay closure,106 Street NW,Whitemud Drive NW,,Travel Delays,5 Nights,Northwest corner turnbay on 106st and Whitemud Drive Collector distributor WB will be closed nightly from 8pm-6am due to a drainage pipe install. Temporary pedestrian detour will be in place. Use other routes.,Drainage Pipe Installation,Construction,Southwest,Road,POINT (-113.504307618552 53.48134804511)
86,"Jan 24, 2024","Jan 30, 2024","Apr 29, 2024",Current,104 Av Closure,104 Avenue NW,95 Street NW,93 Street NW,Total Closure,3 Months,"Starts Tues, Jan 30th at 9am. 104 Av from 95 St to the lane East of 95 St will be closed.",Drainage Shaft,Construction,Central,Road,POINT (-113.480729527474 53.548726680974)
6,"Jan 17, 2022","Jul 27, 2021","Dec 31, 2024",Current,87 Ave West LRT Construction,87 Avenue NW,170 Street NW,175 Street NW,Travel Delays,3 Years,The right lane of WB 87 Ave will remain closed from 170 St - 175 St for the West LRT construction project. There will be various impacts to sidewalks and mall accesses as work progresses. Additional lane closures will follow with separate or revised TDNs.,West LRT Construction,Construction,Northwest,Road and Sidewalk,POINT (-113.623716708035 53.520304927592)
2,"Jun 14, 2022","Jun 20, 2022","Jun 20, 2024",Current,Stony Plain Rd/149 St Reduced to 1 Lane Each W,Stony Plain Road,139 Street NW,157 Street NW,Travel Delays,2 Years,"Stony Plain Rd, from 139 St - 157 St, and 149 St, from 100 Av - 102 Av, will be reduced to 1 lane in each direction for LRT construction work. Use other routes. Various sidewalk closures will also be required for this and pedestrians will be detoured.",WLRT Construction,Construction,Northeast,Road,POINT (-113.592080656202 53.541294164135)
189,"Mar 27, 2024","Apr 15, 2024","Apr 20, 2024",Current,Single Lane closure Eastbound,Whitemud Drive NW,111 Street NW,106 Street NW,Travel Delays,6 Days,"Starts Monday April 15th, Whitemud Drive Collectior Distributor Eastbound from 111st to 106st will be reduced to one lane full time due to a drainage pipe installation. Expect travel delays.",Drainage Pipe Installation,Construction,Southwest,Road,POINT (-113.5167891742 53.482784190578)
44,"Dec 28, 2023","Dec 22, 2023","Apr 30, 2024",Current,Yellowhead Trail Speed Reduction,Yellowhead Trail NW,St Albert Trail NW,156 Street NW,Increased Travel Time,4.5 Months,"YHT, 156 St - St Albert tr will have a speed reduction in place of 60km/hr starting on Dec 22, 2023.",YHT Conversion Project,Construction,Northwest,Road,POINT (-113.590610497653 53.578402392784)
189,"Mar 27, 2024","Apr 15, 2024","Apr 20, 2024",Current,Single Lane closure Eastbound,Whitemud Drive NW,111 Street NW,106 Street NW,Travel Delays,6 Days,"Starts Monday April 15th, Whitemud Drive Collectior Distributor Eastbound from 111st to 106st will be reduced to one lane full time due to a drainage pipe installation. Expect travel delays.",Drainage Pipe Installation,Construction,Southwest,Road,POINT (-113.504307618552 53.48134804511)
215,"Apr 05, 2024","Apr 13, 2024","Apr 13, 2024",Current,"Flagging on 18 Street NW, 153 Ave NW to 167 Ave NW",18 Street,153 Avenue,167 Avenue,Travel Delays,1 Day,"There will be a Flagging operation along 18 Street NW, between 153 Ave NW and 167 Ave NW. On April 13th for a power installation.",Power Install,Construction,Northeast,Road,POINT (-113.36854241232 53.628637426469)
215,"Apr 05, 2024","Apr 13, 2024","Apr 13, 2024",Current,"Flagging on 18 Street NW, 153 Ave NW to 167 Ave NW",18 Street,153 Avenue,167 Avenue,Travel Delays,1 Day,"There will be a Flagging operation along 18 Street NW, between 153 Ave NW and 167 Ave NW. On April 13th for a power installation.",Power Install,Construction,Northeast,Road,POINT (-113.369013544096 53.616188690184)
166,"Mar 18, 2024","Mar 25, 2024","Apr 07, 2024",Current,Total Closure of intersection at 78 Ave and 108 St,78 Avenue NW,108 Street NW,,Total Closure,2 Weeks,The intersection of 78 Ave and 108 St will be totally closed for drainage construction. Northbound and Southbound pedestrians will be detoured.,Drainage Construction,Construction,Central,Road and Sidewalk,POINT (-113.509355383275 53.514254249484)
186,"Mar 26, 2024","Apr 15, 2024","Oct 31, 2024",Current,132 Ave Road Rehabilitation,132 Avenue NW,107 Street NW,112 Street NW,Total Closure,6.5 Months,132 Ave closure between 107 St and 112 St. Alternating North and South sidewalk closures while work progresses.,Road Rehabilitation,Construction,Northeast,Road and Sidewalk,POINT (-113.503977821032 53.592084483997)
186,"Mar 26, 2024","Apr 15, 2024","Oct 31, 2024",Current,132 Ave Road Rehabilitation,132 Avenue NW,107 Street NW,112 Street NW,Total Closure,6.5 Months,132 Ave closure between 107 St and 112 St. Alternating North and South sidewalk closures while work progresses.,Road Rehabilitation,Construction,Northeast,Road and Sidewalk,POINT (-113.513594184847 53.592128856296)
216,"Apr 08, 2024","Apr 10, 2024","Apr 19, 2024",Current,81 AV Eastbound Closure,81 Avenue NW,104 Street NW,Gateway Boulevard NW,Directional Closure,Ten Days,81 AV eastbound closed to vehicle traffic. Westbound traffic will be unobstructed. Detour using other routes.,Telecom Install,Construction,Central,Road,POINT (-113.497541726598 53.517079431739)
6,"Jan 17, 2022","Jul 27, 2021","Dec 31, 2024",Current,87 Ave West LRT Construction,87 Avenue NW,170 Street NW,175 Street NW,Travel Delays,3 Years,The right lane of WB 87 Ave will remain closed from 170 St - 175 St for the West LRT construction project. There will be various impacts to sidewalks and mall accesses as work progresses. Additional lane closures will follow with separate or revised TDNs.,West LRT Construction,Construction,Northwest,Road and Sidewalk,POINT (-113.615383585594 53.519548030193)
